section,scenario,window,stock_leg_invested,stock_leg_final,stock_leg_xirr,index_leg_xirr,spread_vs_index,stock_sharpe,index_sharpe,stock_max_drawdown,index_max_drawdown,family,run
Pickers,#1 (reference),1975–2026,102500.0,2460375.313955369,0.0972795929645281,0.11873237878752335,-0.021452785822995257,0.42989623855069165,0.5817902271171339,-0.5692169995526584,-0.55250241066821,top1_core,top1_baseline_hold
Pickers,#1 with a 5% margin buffer,1975–2026,102500.0,2453008.9702194035,0.09719895086436428,0.11873237878752335,-0.02153342792315907,0.4236833064688966,0.5817902271171339,-0.5646504485717565,-0.55250241066821,alt_pickers,buffer5_baseline_hold
Pickers,#2 (runner-up),1975–2026,102500.0,3241424.9595388626,0.10466412846405837,0.11873237878752335,-0.014068250323464981,0.5221469214693366,0.5817902271171339,-0.5138513155561937,-0.55250241066821,alt_pickers,rank2_baseline_hold
Pickers,#2 (runner-up),1995–2026,62500.0,545089.9238759379,0.11670889783908135,0.10679156172185587,0.009917336117225478,0.5711588411593089,0.624713535776678,-0.5343278654707506,-0.5525024106682106,alt_pickers,rank2_baseline_hold_from_1995
Pickers,#1 (reference),2012–2026,28000.0,183211.92764294942,0.24569367430359432,0.1473871092538761,0.09830656504971821,0.8025064174703482,0.9171923763631344,-0.43797157550761157,-0.3379046365337395,fundamentals_picker,top1_baseline_hold_from_2012
Pickers,Best growth + margin rank in the top 10,2012–2026,28000.0,171543.9305228641,0.2374978530490152,0.1473871092538761,0.09011074379513909,0.8826617015653819,0.9171923763631344,-0.43797157550761157,-0.3379046365337395,fundamentals_picker,fundamental_baseline_hold
Rules (#1),25% trailing stop (reference),1975–2026,102500.0,5200079.1552609075,0.11721057475720681,0.11873237878752335,-0.0015218040303165425,0.5753554628777428,0.5817902271171339,-0.5322591609584393,-0.55250241066821,top1_core,top1_trailing_stop_25
Rules (#1),"Partial trim: 50% at −25%, once per lot",1975–2026,102500.0,3830227.234608138,0.10910905816220967,0.11873237878752335,-0.00962332062531368,0.5294590860948568,0.5817902271171339,-0.5079683896949774,-0.55250241066821,rule_variants,partial_trim_once
Rules (#1),25% stop + rebuy on regaining #1,1975–2026,102500.0,3184549.6543500377,0.10419165284120918,0.11873237878752335,-0.01454072594631417,0.49053745756207634,0.5817902271171339,-0.5308641983345688,-0.55250241066821,rule_variants,stop_and_rebuy
Rules (#1),Volatility-scaled stop (k = 1),1975–2026,102500.0,4887830.8492606785,0.11557349324769176,0.11873237878752335,-0.0031588855398315963,0.5577217271676799,0.5817902271171339,-0.5507954026562842,-0.55250241066821,rule_variants,vol_stop_k1
Breadth (common window),#1,2009–2026,34000.0,212319.76958516915,0.19325760171371417,0.14711876438185073,0.04613883733186344,0.7883437258440309,1.0057291309137828,-0.34336781364430813,-0.3379046365337399,breadth,ladder_top1_from_2009
Breadth (common window),Top-3 equal-weight,2009–2026,34000.0,256226.81225130745,0.21174115159541962,0.14711876438185073,0.06462238721356889,1.0641195480839445,1.0057291309137828,-0.2937032886662767,-0.3379046365337399,breadth,ladder_top3_from_2009
Breadth (common window),Top-10 equal-weight,2009–2026,34000.0,178098.26296604695,0.1758881277690467,0.14711876438185073,0.028769363387195962,1.096982031467531,1.0057291309137828,-0.2948980936611888,-0.3379046365337399,breadth,ladder_top10_from_2009
Breadth (common window),Top-20 equal-weight,2009–2026,34000.0,145295.98996781008,0.155625540860681,0.14711876438185073,0.008506776478830275,1.0340750794555762,1.0057291309137828,-0.30355595290802173,-0.3379046365337399,breadth,ladder_top20_from_2009
"Cadence (#1, baseline hold)",Monthly $166.67,1975–2026,102166.66666666666,2447952.230824956,0.0973552715471576,0.11859594988110946,-0.02124067833395185,0.4307138183732002,0.5817902271171356,-0.5689608089732889,-0.5525024106682093,cadence,monthly_baseline_hold
"Cadence (#1, baseline hold)","Annual lump sum $2,000",1975–2026,104000.0,2482605.2154447366,0.09658939362443304,0.11928372924833812,-0.022694335623905076,0.4085158813464757,0.5817902271171344,-0.5623050052440894,-0.5525024106682094,cadence,lump_sum_baseline_hold
